,Wind_1,Solar_1,Load_1,Wind_2,Solar_2,Load_2,Wind_3,Solar_3,Load_3,Wind_4,Solar_4,Load_4,Wind_5,Solar_5,Load_5
15,1127.45639054332,225.6334661698247,6916.590719073596,1127.5552820995829,225.62662921904572,6916.51556551415,1127.3028212622187,225.01727806090364,6916.8372375364925,1127.499824745991,226.52291382907876,6916.130275874915,1127.5692785218737,225.3017022466565,6916.386821955028
16,1127.9829052609202,225.69081859493957,6916.7428797874445,1128.2581055086848,225.77237765694366,6916.621855387449,1128.1663134020564,225.03987525606857,6917.190724829196,1127.9852169674632,226.71925418282257,6916.191416570901,1128.2288749736545,225.42162452841507,6916.465278515577
17,1128.3810582765554,225.68954418947658,6916.723199386533,1128.671528817079,225.8445993249651,6916.618715543684,1128.602291525266,225.07283829500636,6917.17073496097,1128.3739964374518,226.7573942725893,6916.1647425186,1128.615285874269,225.5037165765997,6916.452353168663
18,1128.490055153294,225.87619065241037,6916.312307997458,1128.6671831702427,226.18040009335695,6916.008451222294,1128.395580778046,225.6240911384028,6916.145185260885,1128.557675728722,227.015707602064,6915.726801453941,1128.671076962872,225.81150149301706,6915.913120119684
19,1130.1817122282444,225.33437346559438,6917.59161488085,1130.4089446844516,225.6232361708251,6917.36789146929,1130.7254067243991,224.9463950310317,6918.447370209982,1129.9925764979778,226.60994608592662,6916.582739808848,1130.2832043947635,225.40236829858694,6917.103713431647
20,1128.8743383555088,226.1294242072833,6915.991409588324,1128.9876374869023,226.42915415055876,6915.738079953658,1128.527533617464,225.68204890973692,6916.024973693954,1129.0521003274594,227.3541700173152,6915.427647370564,1129.0184855727825,226.08316349275236,6915.6121811156145
21,1129.5788882727516,225.92776417168955,6916.42551681225,1129.7624624128234,226.34853416118005,6916.102688757822,1129.3205064887893,225.5209374371467,6916.503061739847,1129.6952903623474,227.2867205980716,6915.627585081503,1129.798114573468,226.0181034747062,6915.964036597058
22,1130.3726692042462,226.03805923043333,6916.541961886507,1130.56377278186,226.33550977288328,6916.191372253519,1130.448110862743,225.44568109093748,6916.844706036669,1130.2671287498586,227.3916247147187,6915.67268694244,1130.5007535061948,226.03057038365446,6916.0186231067
23,1131.3128763366074,226.8575223060876,6916.847974139252,1131.3048937845558,226.91504478180704,6916.359783786335,1131.6056471991867,226.40237796032724,6917.302994090119,1130.8552217412323,227.7176324101716,6915.799020159045,1131.2030413675636,226.5520445081025,6916.202463882962
24,1129.9095906034063,227.7434980558351,6914.740544376349,1130.320846797521,227.49926179518255,6914.837985572791,1129.6635753527235,227.03379866351636,6914.579336581206,1130.420593442018,228.0776936994985,6914.900102910971,1130.3830075874876,226.98525988926443,6914.834110436415
25,1131.3409754138756,227.16776007429368,6916.409825481328,1131.5139008861352,227.0386709572435,6915.915746636542,1131.2155329089928,226.41400885597474,6916.5825291051,1131.2808801036645,227.99223339573152,6915.302814550551,1131.5428772073556,226.65507864967591,6915.768398813757
26,1133.1553307362583,227.09493434589368,6916.848575847476,1132.7478061505344,226.95298838775616,6916.134312646716,1133.0802400895145,226.4025375859068,6916.964248674243,1132.3614158221271,227.76338443320256,6915.603883655995,1132.5935204812076,226.66034186046582,6915.964089947074
27,1131.482286242128,227.50504792041505,6915.461900946406,1131.7275557194955,227.3806884021255,6915.1849439411435,1131.247145620466,226.74427140063966,6915.436321762112,1131.7828643594987,228.21856791085924,6914.869404670504,1131.7688327108629,227.00122309035982,6915.091351237801
28,1131.7501855255591,227.3672684774059,6915.969147539819,1132.1462023617255,227.34388551565587,6915.49790739187,1131.6096811653601,226.61406636687695,6915.985609031403,1132.1724913479316,228.25201210829198,6915.023042447055,1132.2248085500228,226.99432099315106,6915.358500964129
29,1132.7303321210588,227.93575011042986,6915.015802131555,1132.8710330573763,227.81570701150332,6914.897187279126,1132.5504529325212,227.20972359774743,6914.933888183496,1132.624962493583,228.47581631539498,6914.7558981939765,1132.8311646429743,227.39248192904626,6914.838429407737
30,1134.1690946752492,227.70253641152271,6916.9289814792455,1133.9155164296094,227.59309623384365,6915.983588393766,1134.1122883493367,227.02896536135563,6917.072402652341,1133.5792818004552,228.23474428796658,6915.586436446744,1133.8342875773374,227.2631479575623,6915.799712833005
31,1132.6659294984024,228.73849416662796,6914.629811203495,1132.9531484267395,228.43271032859428,6914.469323790088,1132.331797542302,228.01117805530174,6914.452101504818,1132.872149529187,228.34099830080612,6914.871591931596,1132.9861898443382,227.9460065751229,6914.423720753208
32,1135.0773763763807,227.67933995560014,6916.858964578104,1134.8607530701063,227.64149786070192,6915.903794185114,1135.0858380901716,227.05568111971223,6917.004131571245,1134.6361181843183,227.17806590631807,6916.447590247583,1134.782936345329,227.3406830532869,6915.716301099253
33,1135.2394734218242,228.36103002409993,6915.674346084962,1134.7831149890544,228.2169846115595,6915.00373288549,1135.082605142844,227.76222707014142,6915.5852825001575,1134.5968549444797,227.84948153476773,6915.545043821702,1134.6319894387843,227.88535023908673,6914.8896668807365
34,1134.7956048529486,227.54955424196038,6916.608709668464,1134.7684204857687,227.78863043910775,6915.529842948265,1134.5945750754217,226.84702397710595,6916.726660823173,1134.6859722416739,227.259982718294,6916.373820757217,1134.749660043035,227.4941887987307,6915.338270699329
35,1135.0926369197923,227.9372624305106,6916.5789566786325,1135.0928415425378,228.14235569509037,6915.455434039358,1135.002464867409,227.2646641877509,6916.581355646375,1135.0353079803544,227.86913378509053,6916.443780973676,1135.0835563309747,227.83165015252598,6915.245347514871
36,1135.1754154418288,228.2902743977092,6916.210738475026,1135.2797744725524,228.42175726709587,6915.21333828062,1135.0020167682944,227.5765839975856,6916.153051430882,1135.1719345901786,228.32988478360397,6916.203732783498,1135.276859626609,228.08249761281235,6915.016639585198
37,1136.1450675071278,229.3829463001438,6914.7155918823455,1136.0278740466633,229.10817645006856,6914.396350865242,1136.0550058425465,228.76337991916617,6914.667831738469,1136.244572812418,229.68956436478575,6914.784151201126,1135.958528095583,228.64755632245024,6914.340124552128
38,1137.2873410609977,228.91529386151964,6916.211139335686,1136.9239880470054,228.76914917339022,6915.252783074433,1137.2195906070488,228.20905377377207,6916.360931887681,1137.3724285987632,229.19798336584503,6916.316011323983,1136.8138087419288,228.3895429562443,6915.083173527772
